iter	Passed	Remaining
0	64	64307
1	116	58196
2	167	55502
3	222	55340
4	325	64783
5	428	70932
6	495	70358
7	584	72495
8	634	69814
9	678	67213
10	733	65978
11	776	63907
12	821	62360
13	862	60735
14	927	60873
15	986	60644
16	1040	60189
17	1079	58878
18	1120	57829
19	1160	56888
20	1196	55786
21	1240	55148
22	1289	54768
23	1329	54049
24	1370	53455
25	1409	52818
26	1450	52270
27	1501	52116
28	1542	51653
29	1582	51157
30	1628	50890
31	1666	50420
32	1711	50151
33	1753	49824
34	1807	49841
35	1854	49658
36	1900	49457
37	1941	49154
38	1992	49088
39	2044	49071
40	2096	49037
41	2138	48788
42	2187	48675
43	2228	48424
44	2265	48072
45	2309	47896
46	2361	47888
47	2403	47670
48	2470	47956
49	2531	48092
50	2579	47989
51	2648	48284
52	2686	48007
53	2752	48216
54	3396	58358
55	3506	59102
56	3577	59182
57	3647	59241
58	3720	59332
59	3794	59446
60	3863	59469
61	3928	59432
62	3995	59429
63	4064	59448
64	4130	59411
65	4204	59500
66	4287	59701
67	4365	59837
68	4438	59890
69	4492	59688
70	4559	59656
71	4620	59556
72	4687	59521
73	4780	59825
74	4847	59786
75	4904	59629
76	4967	59540
77	5159	60988
78	5462	63679
79	5560	63951
80	5646	64066
81	5720	64036
82	5766	63714
83	5819	63459
84	5880	63303
85	6146	65320
86	6531	68543
87	6804	70523
88	6877	70400
89	6949	70270
90	7123	71159
91	7207	71135
92	7288	71082
93	7361	70952
94	7442	70901
95	7534	70946
96	7595	70711
97	7639	70315
98	7681	69907
99	7720	69480
100	7771	69171
101	7832	68959
102	7877	68602
103	7918	68216
104	7971	67943
105	8022	67663
106	8089	67517
107	8209	67804
108	8351	68269
109	8507	68831
110	8621	69052
111	8683	68848
112	8730	68531
113	8777	68220
114	8827	67929
115	8879	67669
116	8921	67329
117	8973	67070
118	9020	66778
119	9059	66437
120	9140	66400
121	9242	66518
122	9347	66647
123	9470	66904
124	9626	67386
125	9694	67243
126	9751	67031
127	9812	66847
128	9845	66472
129	9892	66201
130	9944	65968
131	9989	65688
132	10039	65442
133	10072	65097
134	10111	64788
135	10215	64901
136	10293	64840
137	10323	64484
138	10733	66482
139	11234	69011
140	11485	69971
141	11661	70462
142	11749	70415
143	11904	70765
144	11972	70597
145	12050	70485
146	12174	70646
147	12270	70639
148	12328	70410
149	12374	70122
150	12423	69850
151	12464	69536
152	12510	69256
153	12554	68969
154	12602	68703
155	12660	68495
156	12714	68272
157	12772	68068
158	12831	67869
159	12893	67693
160	12980	67644
161	13035	67431
162	13099	67267
163	13167	67121
164	13282	67218
165	13351	67078
166	13423	66954
167	13494	66830
168	13564	66697
169	13645	66624
170	13730	66565
171	13806	66461
172	13869	66302
173	13940	66176
174	14019	66093
175	14089	65965
176	14160	65843
177	14254	65824
178	14321	65687
179	14410	65648
180	14490	65569
181	14600	65619
182	14693	65599
183	14770	65502
184	14850	65423
185	14918	65288
186	14994	65190
187	15060	65049
188	15180	65141
189	15266	65082
190	15345	64995
191	15418	64884
192	15492	64780
193	15560	64648
194	15632	64535
195	15689	64358
196	15782	64330
197	15852	64208
